Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
1,"Middle frontal gyrus anterior, LH",SalVentAttnA,SalVentAttnB,0.586695983486764,0.36875696130386787,0.04308497298438117
2,"Middle frontal gyrus anterior, RH",ContA,SalVentAttnB,0.6692116380910791,0.25477871299974875,0.06971050882055994
3,Cerebrospinal fluid (between superior parietal lobule and skull),DorsAttnB,DorsAttnB,0.3622519706081581,0.06220424808233868,0.14860328773879317
4,"Inferior frontal sulcus, RH",ContA,ContA,0.629230791189012,0.29043223809053664,0.07057267855184636
5,Caudate superior,No network found,No network found,0.22790405823855442,0.6881510643368586,0.08395121796577061
6,"Cuneus, anterior",VisCent,VisPeri,0.5607103605273289,0.3626666242470509,0.07663687935214282
7,"Lateral ventricles, anterior horns",No network found,No network found,0.17602273221229367,0.44179381310326604,0.38217876171573495
8,"Lateral occipital cortex, LH",VisCent,VisCent,0.47856254568152923,0.4798004071481608,0.04146155908443217
9,"Occipital pole, superior",VisCent,VisCent,0.5886525849711995,0.24195034315620065,0.1282625437871518
10,"Collateral sulcus, anterior",LimbicA,LimbicA,0.36110089394028594,0.6137068284132844,0.025036355540567583
11,Cerebrospinal fluid (between intraparietal sulcus and skull),DorsAttnB,DorsAttnA,0.4044119755919818,0.049937080833486504,0.1929592364127446
12,Superior frontal gyrus anterior,DefaultB,DefaultB,0.6250395032671924,0.31166327691844053,0.05810219906873466
13,Mid-anterior cingulate cortex,SalVentAttnA,SalVentAttnA,0.7661737685077571,0.051065778410752265,0.18275815839784418
14,Mid-posterior cingulate cortex,SalVentAttnA,ContC,0.7674280090953459,0.05042422771215881,0.1821655132855543
15,Posterior cingulate cortex,DefaultB,DefaultA,0.7323902819230679,0.16497289408572552,0.10263982448162876
16,"Pars opercularis, pars triangularis LH",DefaultB,DefaultB,0.661844210287319,0.18254518080527296,0.1109378916853813
17,"Medial frontal cortex, posterior",SalVentAttnA,SalVentAttnA,0.6658881185422801,0.09199947135991934,0.24163115979989425
18,Cerebrospinal fluid (between precuneus and skull),DorsAttnB,DorsAttnA,0.5477144915152858,0.07645816114370972,0.194467315211736
19,Superior parietal lobule,DorsAttnB,DorsAttnB,0.2116927520371631,0.7769950098384085,0.011314540288209902
20,Frontal operculum LH,SalVentAttnA,SalVentAttnA,0.7683485852828961,0.10444196401300064,0.1196088714143971
21,Amygdala,No network found,No network found,0.8991925240429087,0.034347317533480484,0.06632207935095785
22,"Supramarginal gyrus, LH",SalVentAttnA,SalVentAttnB,0.6326819737536045,0.18467418247386214,0.10155617493143217
23,Postcentral gyrus LH,SomMotA,SomMotA,0.42290944690055243,0.4952375252670717,0.07854100595032414
24,"Parieto-occipital sulcus, superior",ContA,ContC,0.627128126634064,0.26094627292627454,0.11185521016682505
25,"Occipital pole, inferior",VisCent,VisCent,0.5827940723040411,0.35057453464809396,0.05878568341678515
26,Superior temporal gyrus LH,SomMotA,SomMotB,0.6103221772380969,0.31095001962280233,0.07436908843893758
27,"Intraparietal sulcus, anterior",DorsAttnB,ContA,0.5676423889702238,0.24485428147156768,0.1563297450675642
28,Inferior occipital gyrus,VisCent,VisCent,0.772916764257577,0.1266857571222738,0.09458972042178496
29,"Angular gyrus superior, RH",ContA,ContB,0.629624308488307,0.1435998745353093,0.11694695687852844
30,"Postcentral sulcus superior, LH",DorsAttnB,DorsAttnB,0.6366652080134517,0.18022941400055317,0.17185798229867805
31,Superior occipital sulcus RH,VisCent,VisCent,0.5179556071204661,0.44081211648106783,0.0412440893361426
32,Anterior cingulate cortex,DefaultB,DefaultA,0.6898952041078964,0.2001757340280495,0.10991430379812808
33,Cerebellum IX,No network found,No network found,0.5988717940154333,0.31925368299443363,0.07953602055396777
34,"Corpus callosum forceps minor, LH",No network found,No network found,0.05480629747159142,0.9289282696745498,0.016258130591914173
