,dimension,component,identified,overlap_against,label
0,256,1,52,64,Inferior frontal gyrus
1,256,1,1,64,Superior frontal sulcus
2,256,1,26,64,Mid-anterior Cingulate cortex
3,256,1,23,64,Anterior Cingulate Cortex
4,256,1,51,64,Middle frontal gyrus
5,256,1,93,128,Cerebrospinal fluid (between middle frontal gyrus and skull)
6,256,1,1,128,"Middle frontal gyrus lateral, LH"
7,256,1,32,128,"Inferior frontal gyrus anterior, LH"
8,256,1,9,128,Superior frontal sulcus
9,256,1,14,128,Lateral frontal pole
10,256,1,175,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
11,256,1,214,256,Middle frontal gyrus anterior
12,256,1,57,256,Inferior frontal gyrus LH
13,256,1,54,256,"Superior frontal sulcus anterior, RH"
14,256,1,94,256,"Inferior frontal sulcus anterior, LH"
15,256,1,310,512,Middle frontal gyrus middle
16,256,1,48,512,Middle frontal gyrus mid-anterior LH
17,256,1,449,512,Middle frontal gyrus mid-posterior lateral LH
18,256,1,185,512,Superior frontal sulcus anterior LH
19,256,1,282,512,Middle frontal gyrus anterior LH
20,256,1,484,1024,Middle frontal gyrus mid-anterior LH
21,256,1,428,1024,Middle frontal gyrus anterior LH
22,256,1,627,1024,Anterior corona radiata anterior LH
23,256,1,788,1024,Middle frontal sulcus middle LH
24,256,1,834,1024,Middle frontal sulcus mid-anterior LH
25,256,2,51,64,Middle frontal gyrus
26,256,2,49,64,Inferior frontal sulcus
27,256,2,23,64,Anterior Cingulate Cortex
28,256,2,26,64,Mid-anterior Cingulate cortex
29,256,2,1,64,Superior frontal sulcus
30,256,2,93,128,Cerebrospinal fluid (between middle frontal gyrus and skull)
31,256,2,14,128,Lateral frontal pole
32,256,2,4,128,"Frontal pole lateral, RH"
33,256,2,53,128,Inferior frontal sulcus RH
34,256,2,81,128,"Intraparietal sulcus anterior, RH"
35,256,2,202,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
36,256,2,214,256,Middle frontal gyrus anterior
37,256,2,54,256,"Superior frontal sulcus anterior, RH"
38,256,2,98,256,Middle frontal gyrus medial RH
39,256,2,175,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
40,256,2,115,512,Middle frontal gyrus anterior RH
41,256,2,310,512,Middle frontal gyrus middle
42,256,2,205,512,Middle frontal gyrus anterior lateral RH
43,256,2,32,512,Superior frontal sulcus anterior RH
44,256,2,345,512,Cerebrospinal fluid (between middle frontal gyrus and skull RH)
45,256,2,254,1024,Middle frontal sulcus anterior RH
46,256,2,730,1024,Middle frontal gyrus anterior RH
47,256,2,66,1024,Middle frontal gyrus mid-anterior RH
48,256,2,806,1024,Middle frontal gyrus mid-anterior superior RH
49,256,2,879,1024,Middle frontal sulcus middle RH
50,256,3,44,64,Paracentral lobule superior
51,256,3,33,64,Superior parietal lobule anterior
52,256,3,57,64,Superior parietal lobule
53,256,3,18,64,Precuneus superior
54,256,3,12,64,Paracentral gyrus RH
55,256,3,20,128,Cerebrospinal fluid (superior of Central sulcus)
56,256,3,86,128,Cerebrospinal fluid (between parietal lobe and skull)
57,256,3,70,128,Cerebrospinal fluid (between central sulcus and skull)
58,256,3,38,128,Superior precentral and postcentral gyri [same as 5]
59,256,3,89,128,"Superior parietal lobule, anterior"
60,256,3,142,256,Superior parts of central and postcentral sulci
61,256,3,189,256,Superior parietal lobule anterior
62,256,3,46,256,"Postcentral sulcus superior, RH"
63,256,3,52,256,Cerebrospinal fluid (between parietal lobe and skull)
64,256,3,11,256,Cerebrospinal fluid (between intraparietal sulcus and skull)
65,256,3,477,512,Cerebrospinal fluid (between superior parietal lobule and skull LH)
66,256,3,398,512,Cerebrospinal fluid (between callosomarginal sulcus and skull RH)
67,256,3,258,512,Superior parietal lobule LH
68,256,3,374,512,Superior parietal sulcus superior 
69,256,3,92,512,Cererbrospinal fluid (between callosomarginal sulcus and skull LH)
70,256,3,601,1024,Cerebrospinal fluid (between postcentral gyrus RH and skull)
71,256,3,660,1024,Postcentral gyrus superior LH
72,256,3,574,1024,Cerebrospinal fluid (between superior parietal lobule LH and skull)
73,256,3,329,1024,Superior parietal lobule superior
74,256,3,685,1024,Cerebrospinal fluid (between postcentral gyrus and skull)
75,256,4,51,64,Middle frontal gyrus
76,256,4,58,64,Middle frontal gyrus anterior
77,256,4,6,64,Antero-superior insula
78,256,4,26,64,Mid-anterior Cingulate cortex
79,256,4,37,64,Supramarginal gyrus
80,256,4,104,128,Inferior frontal sulcus posterior RH
81,256,4,106,128,"Middle frontal gyrus, RH"
82,256,4,2,128,Middle frontal gyrus anterior
83,256,4,79,128,Pars triangularis
84,256,4,81,128,"Intraparietal sulcus anterior, RH"
85,256,4,192,256,Middle frontal gyrus posterior RH
86,256,4,210,256,Precentral sulcus inferior RH
87,256,4,144,256,Inferior frontal sulcus RH
88,256,4,202,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
89,256,4,232,256,Pars opercularis
90,256,4,153,512,Inferior frontal sulcus posterior RH
91,256,4,239,512,Pars triangularis RH
92,256,4,49,512,Middle frontal gyrus posterior lateral RH
93,256,4,439,512,Precentral sulcus inferior RH
94,256,4,126,512,Cingulum anterior
95,256,4,778,1024,Inferior frontal sulcus posterior RH
96,256,4,1010,1024,Inferior frontal sulcus mid-posterior RH
97,256,4,57,1024,Arcuate fasciculus anterior RH
98,256,4,118,1024,Inferior frontal gyrus posterior RH
99,256,4,776,1024,Middle frontal gyrus mid-anterior inferior RH
100,256,5,22,64,Superior fornix and isthmus
101,256,5,64,64,Caudate
102,256,5,47,64,Thalamus
103,256,5,5,64,Dorsal Parieto-occipital sulcus
104,256,5,43,64,Callosomarginal sulcus
105,256,5,127,128,"Lateral ventricles, superior"
106,256,5,94,128,Caudate
107,256,5,98,128,"Putamen, anterior"
108,256,5,71,128,Thalamus
109,256,5,105,128,"Cingulate sulcus, posterior"
110,256,5,58,256,Caudate superior
111,256,5,101,256,Internal capsule anterior horn RH
112,256,5,157,256,Anterior corona radiata RH
113,256,5,34,256,"Corpus callosum forceps minor, LH"
114,256,5,250,256,Superior longitudinal fasciculus II LH
115,256,5,165,512,Superior corona radiata
116,256,5,23,512,Superior corona radiata anterior
117,256,5,22,512,Superior longitudinal fasciculus II LH
118,256,5,483,512,Superior longitudinal fasciculus III anterior RH
119,256,5,28,512,Corpus callosum isthmus anterior
120,256,5,99,1024,Lateral ventricle RH
121,256,5,622,1024,Corpus callosum posterior body
122,256,5,438,1024,Superior longitudinal fasciculus II middle RH
123,256,5,375,1024,Corpus callosum middle body
124,256,5,359,1024,Superior longitudinal fasciculus II anterior LH
125,256,6,60,64,Cuneus
126,256,6,53,64,Parieto occipital sulcus anterior
127,256,6,5,64,Dorsal Parieto-occipital sulcus
128,256,6,31,64,Calcarine sulcus anterior
129,256,6,4,64,Posterior Cingulate cortex
130,256,6,17,128,Parieto-occipital sulcus postero-superior
131,256,6,111,128,Intracalcarine cortex
132,256,6,75,128,Cuneus
133,256,6,78,128,Cuneus superior
134,256,6,118,128,Parieto-occipital sulcus antero-superior
135,256,6,151,256,"Parieto-occipital sulcus, anterior"
136,256,6,197,256,"Parieto-occipital sulcus, posterior"
137,256,6,184,256,Cuneus superior
138,256,6,128,256,"Parieto-occipital sulcus, inferior"
139,256,6,88,256,Cuneus inferior
140,256,6,301,512,Parieto-occipital sulcus middle inferior LH
141,256,6,511,512,Parieto-occipital sulcus middle LH
142,256,6,424,512,Parieto-occipital sulcus postero-inferior RH
143,256,6,240,512,Cuneus superior 
144,256,6,435,512,Cuneus anterior
145,256,6,849,1024,Parieto-occipital sulcus 
146,256,6,914,1024,Cuneus antero-superior RH
147,256,6,372,1024,Cuneus anterior RH
148,256,6,846,1024,Cuneus superior
149,256,6,159,1024,Parieto-occipital sulcus middle RH
150,256,7,5,64,Dorsal Parieto-occipital sulcus
151,256,7,22,64,Superior fornix and isthmus
152,256,7,64,64,Caudate
153,256,7,26,64,Mid-anterior Cingulate cortex
154,256,7,23,64,Anterior Cingulate Cortex
155,256,7,127,128,"Lateral ventricles, superior"
156,256,7,6,128,Lower posterior cingulate cortex
157,256,7,94,128,Caudate
158,256,7,105,128,"Cingulate sulcus, posterior"
159,256,7,95,128,Retrosplenial cortex
160,256,7,34,256,"Corpus callosum forceps minor, LH"
161,256,7,5,256,Caudate superior
162,256,7,205,256,"Pericallosal sulcus, middle"
163,256,7,58,256,Caudate superior
164,256,7,60,256,Genu of callosal body
165,256,7,208,512,Corpus callosum genu superior
166,256,7,28,512,Corpus callosum isthmus anterior
167,256,7,30,512,Cingulate gyrus middle inferior
168,256,7,202,512,Superior occipito-frontal fasciculus middle
169,256,7,261,512,Caudate
170,256,7,669,1024,Corpus callosum anterior body
171,256,7,375,1024,Corpus callosum middle body
172,256,7,587,1024,Callosal sulcus mid-anterior
173,256,7,43,1024,Corpus callosum genu superior
174,256,7,210,1024,Corpus callosum genu posterior
175,256,8,13,64,Superior occipital gyrus
176,256,8,56,64,Superior occipital sulcus
177,256,8,42,64,Lateral occipital cortex
178,256,8,60,64,Cuneus
179,256,8,3,64,Calcarine cortex posterior
180,256,8,13,128,"Lateral occipital cortex, superior"
181,256,8,75,128,Cuneus
182,256,8,88,128,Lunate sulcus
183,256,8,103,128,"Occipital pole, superior"
184,256,8,73,128,Superior occipital sulcus
185,256,8,84,256,"Superior occipital sulcus, inferior"
186,256,8,234,256,Superior occipital sulcus LH
187,256,8,194,256,Lateral occipital cortex
188,256,8,122,256,"Occipital pole, superior"
189,256,8,89,256,Transverse occipital sulcus
