,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,component,cut_coords
0,Middle Frontal Gyrus,R S_front_sup,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,0,"[-25.971482109961997, 27.75879001131966, 46.8022677799331]"
1,Temporal Occipital Fusiform Cortex,L G_oc-temp_lat-fusifor,Vermis VI,Background,Background,CEREBELLUM_VI_dorsal,1,"[-21.76120480404822, -63.918155079678584, -18.289634473316262]"
2,Intracalcarine Cortex,R Pole_occipital,Background,Background,GM Visual cortex V1 BA17 R,POSTERIOR_VISUAL_NETWORK_ventromedial,2,"[1.6663765295199653, -89.5826386512511, 1.2479951079246803]"
3,"Cingulate Gyrus, posterior division",L G_cingul-Post-dorsal,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 7M L,PRECUNEUS_ventral,3,"[-0.9212233639324552, -54.78172848908548, 27.438504013103]"
4,Precuneous Cortex,R S_parieto_occipital,Background,Genu of corpus callosum,GM Superior parietal lobule 7M R,PARIETO_OCCIPITAL_SULCUS_dorsal,4,"[10.649201086410415, -70.27071737555957, 36.345843814019034]"
5,Frontal Operculum Cortex,R Lat_Fis-ant-Horizont,Background,Background,GM Broca's area BA44 R,ANTERIOR_INSULA_anteroodorsal,5,"[39.689725800827404, 21.75293635382053, 0.8304520345523088]"
6,Angular Gyrus,R S_temporal_sup,Background,Background,GM Inferior parietal lobule Pga R,right_ANGULAR_GYRUS,6,"[58.1773125379942, -42.25999900393643, 10.164539894009664]"
7,Planum Temporale,R G_temp_sup-G_T_transv,Background,Background,GM Primary auditory cortex TE1.0 R,SUPERIOR_TEMPORAL_GYRUS_middle,7,"[-55.3372349499457, -23.825261465783655, 10.865271392411017]"
8,Background,Background,Vermis Crus I,Background,Background,right_CEREBELLUM_CRUSII_posterior,8,"[-19.991901470162887, -73.81723252886803, -28.094165865445987]"
9,Postcentral Gyrus,R G_postcentral,Background,Background,GM Primary somatosensory cortex BA1 R,left_SOMATOMOTOR_NETWORK_dorsolateral,9,"[-43.85923037671179, -39.235915087239974, 65.6634608566373]"
